Epoch,A3_Train_AUC,A3_Val_AUC,A4_Train_AUC,A4_Val_AUC,A5_Train_AUC,A5_Val_AUC
1,0.5998173424961164,0.4949731463515189,0.6023761224540508,0.5814162931560007,0.5926751852746434,0.535900765900766
2,0.6644856907218177,0.5097302466314502,0.6802341621519626,0.5709055603255211,0.6411081784365155,0.5658356458356458
3,0.7225403011441084,0.5229692890432998,0.7058723584602857,0.5552271908431913,0.6161748584974193,0.5650630850630851
4,0.7424928155860964,0.523305154492182,0.741908295153888,0.5813166237910506,0.6522690961605,0.5887138787138786
5,0.7724000080499811,0.5227788493449324,0.7579410221884963,0.5690298742029819,0.598277991687263,0.5545709845709845
6,0.7890374872756928,0.5214384990932986,0.778119812103127,0.5834220496328666,0.6340712853019073,0.5761582861582861
7,0.8120894595105903,0.5551794684812728,0.8023506129421355,0.5909833698849266,0.6296064219712707,0.5652007252007253
8,0.8370254473759978,0.5262315599738218,0.80862208043143,0.594868032592766,0.6435292995308113,0.5676434676434676
9,0.8205958630645565,0.5194213094404906,0.8098269200951844,0.6008841308429981,0.6327221650528203,0.5811125911125912
10,0.8342795246963918,0.5228180727738441,0.8092878940851975,0.6061766806577222,0.6165120318852092,0.5743752543752543
11,0.8202266723204408,0.5258328111111165,0.8318735763574187,0.609333234230219,0.6219169285236387,0.5732552632552632
12,0.8113578370994998,0.5495933987565093,0.8200404759393358,0.6126760115844985,0.6426892627833825,0.5740067340067341
13,0.8440267159437415,0.5319633668727185,0.837698135560785,0.6165468749063259,0.6670461952425831,0.6123717023717024
14,0.8561815706533983,0.5337571834917598,0.84798348897154,0.623557745436044,0.6455890101654026,0.5967473267473268
15,0.8614928646448543,0.5453899478197711,0.8314047152085742,0.6222695697144178,0.6570756206437429,0.6041565841565841
16,0.8414456820840761,0.5647079411625422,0.833020095559945,0.6071622625303802,0.6444335771157338,0.5932800532800532
17,0.8621471898107788,0.5620494685949619,0.8693008144222524,0.6231962082508254,0.6791611526212508,0.6363207163207163
18,0.8556147537801165,0.5489867260111041,0.836812654740781,0.6123912812385826,0.6734641813163815,0.6320050320050321
19,0.855792206859945,0.5510716156721999,0.866380661970973,0.6228690966613697,0.7065689151244073,0.6460739260739261
20,0.8579687762245163,0.547900170897947,0.8534056385378173,0.6032226088125834,0.6601580170439633,0.614885114885115
21,0.8561679795168893,0.54828542717434,0.8420470827509984,0.62317108022286,0.683268132915505,0.6484071484071485
22,0.8423113597009624,0.5364589585595693,0.8445854593905804,0.6210833045245118,0.6888074024979423,0.64004551004551
23,0.8389242665259408,0.5379241636248082,0.8455165346875522,0.6158661168968327,0.6519609334795573,0.5920930920930921
24,0.8568301849390478,0.5471350695565977,0.8529662769181118,0.61920482742927,0.6931840836022094,0.6362448662448662
25,0.8539547419108267,0.5401015880564379,0.8473627870771434,0.6284601890826816,0.6778969001606726,0.6336770636770637
